# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_waterworld_tropical
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	-950.462708 -4198.214355 -206.403046	2.501 -0.128 -2.600
weapon_ttt_smokegrenade	-953.469238 -4189.705566 -206.397980	2.355 -0.127 -2.446
weapon_ttt_smokegrenade	-1316.027710 -4197.983887 -206.465286	1.392 0.011 -1.226
weapon_ttt_smokegrenade	-1310.558716 -4191.067871 -206.410080	2.627 -0.128 -2.718
weapon_ttt_smokegrenade	-133.321747 -2485.395752 -254.299850	-50.054 158.155 93.280
weapon_ttt_smokegrenade	-1455.610718 -2432.541504 -242.675812	3.140 0.802 -103.231
weapon_ttt_smokegrenade	-701.459961 -2457.675049 -254.226791	-89.734 149.392 129.232
weapon_ttt_smokegrenade	-75.778984 -2402.036377 -242.802704	69.019 -13.839 -133.365
weapon_ttt_smokegrenade	1298.113281 -2326.817383 -233.003143	1.235 1.669 -7.075
weapon_ttt_smokegrenade	112.144081 -1099.456909 328.575531	3.059 -0.123 -3.147
weapon_ttt_smokegrenade	634.484131 -3317.877197 228.615280	1.966 -0.119 -2.039
weapon_ttt_smokegrenade	2831.618164 -2757.557617 258.120453	0.343 0.035 6.096
weapon_ttt_smokegrenade	2831.275391 -2745.190186 258.552643	0.351 0.036 6.099
weapon_ttt_smokegrenade	2807.765137 -1081.485718 -251.442947	3.505 -0.116 -3.612
weapon_ttt_smokegrenade	2802.594482 -1106.254883 -251.397034	2.322 -0.126 -2.395
weapon_ttt_smokegrenade	2338.128174 1154.920166 -203.481155	0.437 0.004 -0.116
weapon_ttt_smokegrenade	728.227112 249.218979 -272.447113	3.612 -0.108 -3.724
weapon_ttt_smokegrenade	132.867905 697.731934 -251.474365	0.635 0.009 -0.347
weapon_ttt_smokegrenade	-566.870361 743.507324 -251.466537	1.172 0.012 -0.954
weapon_ttt_smokegrenade	-815.267395 519.235168 -11.733621	1.810 2.093 3.957
weapon_ttt_smokegrenade	-3635.079834 641.323120 -211.930801	-0.173 1.147 2.631
weapon_ttt_smokegrenade	-3634.592773 659.647644 -211.925186	1.307 -0.019 2.558
weapon_ttt_smokegrenade	-3650.715576 662.091858 -212.015228	0.123 0.014 0.732
weapon_ttt_smokegrenade	-3666.876221 661.255615 -211.959778	1.466 -0.004 2.870
weapon_ttt_smokegrenade	-3716.890869 654.976746 -211.974701	1.223 -0.026 2.400
weapon_ttt_smokegrenade	-3713.963135 634.995667 -211.889542	-0.172 0.088 2.285
weapon_ttt_smokegrenade	-3007.973145 -1478.720337 -243.415955	2.730 -0.135 -2.802
ttt_random_ammo	3068.502441 -2872.925049 -255.610779	0.402 0.002 0.434
ttt_random_ammo	3029.333008 -2880.920166 -255.630829	0.090 0.000 0.044
ttt_random_ammo	3008.596680 -2882.602783 -255.685242	0.047 0.000 -0.036
ttt_playerspawn	-624.127808 -3581.483643 -255.483902	-0.082 -0.000 0.082
ttt_playerspawn	-833.138733 -3463.119629 -255.465927	-0.064 -0.000 0.064
ttt_playerspawn	-1069.027954 -3435.740967 -255.471085	-0.069 -0.000 0.069
ttt_playerspawn	-1297.346680 -3422.920898 -255.474365	-0.073 -0.000 0.073
ttt_playerspawn	-1473.764893 -3473.849854 -255.436111	-0.035 -0.000 0.035
ttt_playerspawn	-1642.005859 -3601.853271 -255.483902	-0.082 -0.000 0.082
ttt_playerspawn	-1694.308594 -3790.907715 -255.431076	-0.030 -0.000 0.030
ttt_playerspawn	-1057.465332 -4557.993164 -255.440109	-0.039 -0.000 0.039
ttt_playerspawn	-1291.027710 -4558.017090 -255.445923	-0.045 -0.000 0.045
ttt_playerspawn	-736.667542 -1189.029785 -278.694824	0.045 -0.000 -0.046
ttt_playerspawn	-723.498901 -1062.859619 -278.738983	-0.253 0.229 0.022
ttt_playerspawn	-1446.376709 -755.664612 -278.705261	-0.047 -0.000 0.047
ttt_playerspawn	-1480.214600 -839.392944 -278.725403	-0.028 0.069 -0.193
ttt_playerspawn	-2939.759033 -1729.332886 -247.459930	-0.057 -0.000 0.057
ttt_playerspawn	-2952.602539 -1016.353210 -247.425827	-0.025 -0.000 0.025
ttt_playerspawn	-3005.131592 -3732.808838 -255.432999	-0.032 -0.000 0.032
ttt_playerspawn	-3089.208008 -2714.763672 -255.432297	-0.223 0.019 -0.121
ttt_playerspawn	-3274.159912 -914.196960 -255.438919	-0.038 -0.000 0.038
ttt_playerspawn	-3277.002441 471.718689 -255.434509	-0.034 -0.000 0.033
ttt_playerspawn	-2925.018555 975.917358 -255.445923	-0.045 -0.000 0.045
ttt_playerspawn	-3723.892578 885.891235 -255.477173	-0.018 -0.000 0.020
ttt_playerspawn	-3795.178955 459.377411 -255.422882	-0.245 0.006 -0.202
ttt_playerspawn	-3279.562012 1189.450562 -255.425568	0.025 0.000 0.025
ttt_playerspawn	-2852.601318 -201.307846 -255.418121	-0.019 0.000 0.016
ttt_playerspawn	-2285.318359 693.945557 -255.470032	-0.068 0.000 -0.068
ttt_playerspawn	-2029.791626 1163.677856 -255.445236	-0.044 -0.000 0.044
ttt_playerspawn	-759.796021 485.749115 -16.935259	2.515 0.466 0.085
ttt_playerspawn	-650.958618 494.904327 -15.715070	-1.975 -0.288 -1.620
ttt_playerspawn	27.311089 -918.590454 324.553131	0.016 0.146 0.165
ttt_playerspawn	2049.942139 -0.428332 288.540070	-0.057 -0.000 0.057
ttt_playerspawn	837.964844 -225.172989 -207.477798	-0.076 -0.000 0.076
ttt_playerspawn	1132.913818 -259.658478 -207.435028	-0.034 -0.000 0.034
ttt_playerspawn	1979.416016 908.135498 -207.453384	0.052 0.000 0.052
ttt_playerspawn	2685.741699 1453.324585 -207.466919	-0.065 -0.000 0.065
ttt_playerspawn	2840.775635 1081.609863 212.559280	-0.040 -0.000 0.040
ttt_playerspawn	1774.623779 1259.318604 212.541550	0.057 0.000 0.057
ttt_playerspawn	1572.392456 1284.274414 -207.438919	-0.038 -0.000 0.038
ttt_playerspawn	578.088379 368.415344 -276.437195	-0.036 -0.000 0.036
ttt_playerspawn	959.621277 504.906372 -276.462067	-0.061 0.000 -0.061
ttt_playerspawn	-313.712280 706.588745 -255.478989	-0.077 -0.000 0.077
ttt_playerspawn	-1266.796875 -951.558655 -278.428650	-0.079 -0.004 -0.012
ttt_playerspawn	515.449219 -2460.139893 -255.381775	-0.087 -0.007 0.268
ttt_playerspawn	1243.893066 -2450.478516 -255.442734	-0.165 -0.103 0.043
ttt_playerspawn	1990.784912 -2344.035156 -255.451797	-0.051 -0.000 0.051
ttt_playerspawn	2745.822021 -1507.606812 -255.482651	-0.081 -0.000 0.081
ttt_playerspawn	2570.761963 -2395.179932 -255.482651	-0.081 -0.000 0.081
ttt_playerspawn	2587.818115 -3239.279053 -255.433990	-0.033 -0.000 0.033
ttt_playerspawn	2276.422852 -2845.423828 -67.452820	-0.064 -0.000 0.064
ttt_playerspawn	2572.058105 -3400.930908 -117.481415	-0.080 -0.000 0.080
ttt_playerspawn	2747.330811 -3010.028564 252.420700	0.355 -0.059 -0.002
ttt_playerspawn	1098.374268 -3222.768799 228.922256	-6.982 -2.002 -4.122
ttt_playerspawn	-1183.500977 -3344.752197 192.562561	0.052 0.027 0.167
ttt_playerspawn	-565.957336 -4767.924316 -255.425568	-0.025 0.000 0.024
ttt_playerspawn	-1802.757690 -4757.941406 -255.431061	-0.031 -0.000 0.030
ttt_playerspawn	-2456.041504 -3892.390625 -255.455856	-0.055 -0.000 0.054
ttt_playerspawn	137.527267 -3605.769043 -255.463974	-0.062 -0.000 0.062
ttt_playerspawn	849.199402 -3411.043457 -255.481415	-0.080 -0.000 0.080
weapon_zm_molotov	-2040.640381 -4613.598633 228.576813	3.027 -0.136 -3.144
weapon_zm_molotov	-2038.641479 -4602.438965 228.587219	2.712 -0.133 -2.809
weapon_zm_molotov	-266.425507 -4686.229980 228.588577	2.738 -0.134 -2.848
weapon_zm_molotov	-266.542419 -4668.456055 228.498474	0.237 0.002 0.113
weapon_zm_molotov	-1309.667969 -3572.624756 -206.496246	0.258 0.003 0.080
weapon_zm_molotov	-942.134216 -3572.465820 -206.383209	1.899 -0.120 -1.965
weapon_zm_molotov	-1614.719849 -2749.577637 -254.411026	71.486 81.290 -89.677
weapon_zm_molotov	-348.019104 -2417.036377 -243.175491	8.782 2.869 -95.312
weapon_zm_molotov	2834.216064 -3111.075684 256.877350	0.426 0.784 -1.665
weapon_zm_molotov	2515.773926 -3457.129883 -113.488396	0.329 0.002 0.018
weapon_zm_molotov	1632.927734 1153.225952 -203.488388	0.329 0.002 0.018
weapon_zm_molotov	-824.035278 532.832153 -10.861762	3.536 -1.068 2.794
weapon_zm_molotov	-3510.968262 771.598999 -218.454102	1.806 0.089 2.799
weapon_zm_molotov	-3520.683838 777.411987 -218.503632	2.562 0.057 4.027
weapon_zm_molotov	-3520.375488 763.090820 -218.362396	0.641 0.073 0.896
weapon_zm_molotov	-3505.781250 781.182922 -218.520279	0.979 -0.004 1.158
weapon_ttt_confgrenade	-261.715149 -4580.789063 227.564957	1.230 0.225 -0.513
weapon_ttt_confgrenade	-260.130280 -4565.494629 227.587692	0.895 0.222 -0.373
weapon_ttt_confgrenade	-2039.851685 -4514.300293 227.573364	1.106 0.223 -0.461
weapon_ttt_confgrenade	-2040.861816 -4502.086914 227.582932	0.966 0.222 -0.403
weapon_ttt_confgrenade	-1306.273682 -3581.323730 -207.490936	1.848 0.265 1.608
weapon_ttt_confgrenade	-948.790955 -3583.462891 -207.500641	2.184 0.215 -0.910
weapon_ttt_confgrenade	-1026.596069 -2415.998535 -242.571976	-12.610 5.792 -96.015
weapon_ttt_confgrenade	-492.618347 -2554.079834 -242.457367	-47.103 30.019 -118.106
weapon_ttt_confgrenade	-576.792175 -2576.683594 -242.554947	-43.865 28.448 -124.648
weapon_ttt_confgrenade	-143.360184 -2412.508789 -243.310532	37.385 -93.519 -105.368
weapon_ttt_confgrenade	2854.484863 -3114.273926 255.977219	-0.162 0.213 -2.003
weapon_ttt_confgrenade	2323.287598 -2602.655273 -244.419083	0.995 0.224 -0.415
weapon_ttt_confgrenade	2336.445557 -2574.746338 -244.404602	0.781 0.222 -0.326
weapon_ttt_confgrenade	2314.895996 -2561.504639 -244.453293	1.497 0.225 -0.624
weapon_ttt_confgrenade	2707.661621 -1128.075073 -252.433258	0.984 0.135 -0.249
weapon_ttt_confgrenade	-812.584961 534.821350 -12.225703	2.629 1.127 7.179
weapon_ttt_confgrenade	-2853.140381 389.792419 -252.428467	0.926 0.135 -0.235
weapon_ttt_confgrenade	-3884.834473 692.404724 -230.157532	1.248 0.225 -0.521
weapon_ttt_confgrenade	-3887.553467 821.957764 -230.180893	1.590 0.225 -0.663
item_ammo_revolver_ttt	1618.189087 -2768.633301 230.603180	0.244 -0.030 -0.861
item_ammo_revolver_ttt	1635.468628 -2761.354004 230.442307	8.415 -0.222 -3.373
item_ammo_revolver_ttt	-130.739227 -3287.517578 -233.233109	-0.265 0.358 12.577
item_ammo_revolver_ttt	-129.914276 -3277.584473 -233.804169	-0.451 -0.635 1.345
item_ammo_revolver_ttt	-926.278442 -4746.007813 -233.717163	-0.646 -0.222 -6.705
item_ammo_revolver_ttt	-925.824646 -4734.218750 -234.132614	0.357 -0.769 2.413
item_ammo_revolver_ttt	-1293.746826 -4741.348145 -233.726898	0.258 0.612 -6.298
item_ammo_revolver_ttt	-1306.728516 -4741.694336 -233.907288	0.018 0.361 -4.388
item_ammo_revolver_ttt	-1992.487793 -3423.315430 -234.069443	-9.138 -0.209 -0.324
item_ammo_revolver_ttt	-1984.774658 -3419.200928 -234.244644	-0.074 0.454 -0.218
item_ammo_revolver_ttt	-3310.031494 -1136.319946 -227.553970	0.473 0.055 0.010
item_ammo_revolver_ttt	-3299.446045 -1137.322144 -227.634659	0.457 0.060 0.041
item_ammo_revolver_ttt	-3147.077148 317.404785 -219.153549	0.464 0.051 0.016
item_ammo_revolver_ttt	-3166.137695 324.420349 -219.228333	0.442 0.059 0.043
item_ammo_revolver_ttt	-2760.727539 779.382751 -219.233978	0.440 0.059 0.045
item_ammo_revolver_ttt	-2770.289307 778.821777 -219.209686	0.447 0.055 0.036
item_ammo_revolver_ttt	-3288.361572 995.866272 -255.678329	0.448 0.068 0.059
item_ammo_revolver_ttt	-3295.615479 1002.551086 -255.680588	0.448 0.073 0.060
item_ammo_revolver_ttt	-1266.607178 -724.933350 -233.371704	0.503 -0.068 0.013
item_ammo_revolver_ttt	-1262.187256 -709.942444 -233.465790	0.420 -0.033 0.036
item_ammo_revolver_ttt	134.166000 -1071.461426 324.332550	0.451 0.066 0.054
item_ammo_revolver_ttt	137.028320 -1036.089966 324.387878	0.462 0.057 0.032
item_ammo_revolver_ttt	-692.283813 575.350159 -14.926489	1.214 0.393 3.680
item_ammo_revolver_ttt	-709.147583 566.305969 -15.456567	0.848 -0.041 4.164
item_ammo_revolver_ttt	1361.261963 1118.767334 234.305588	0.520 0.305 -7.164
item_ammo_revolver_ttt	1374.133545 1122.185913 234.194458	0.480 0.736 -3.044
item_ammo_revolver_ttt	2702.523926 1389.901123 253.583527	0.453 0.053 0.029
item_ammo_revolver_ttt	2697.510986 1379.788574 253.643265	0.965 0.620 -0.011
item_ammo_revolver_ttt	2717.197021 -1922.635132 -255.657486	0.452 0.062 0.051
item_ammo_revolver_ttt	2736.061279 -1910.887939 -255.586212	0.467 0.054 0.023
item_ammo_revolver_ttt	-2696.129883 -1444.227783 -247.651871	0.453 0.061 0.049
item_ammo_revolver_ttt	-2712.182861 -1423.399414 -247.636337	0.456 0.057 0.043
item_ammo_revolver_ttt	1806.812256 -2991.210205 -255.622742	0.459 0.056 0.037
item_ammo_revolver_ttt	1818.664795 -2963.237305 -255.605011	0.463 0.055 0.030
item_ammo_revolver_ttt	1377.761108 -2972.467529 -255.587952	0.466 0.054 0.023
item_ammo_revolver_ttt	1399.879761 -2949.665039 -255.557495	0.472 0.054 0.011
item_ammo_revolver_ttt	2303.322998 -3270.922119 -255.671738	0.450 0.068 0.057
item_ammo_revolver_ttt	2291.463379 -3253.849609 -255.689987	0.446 0.073 0.064
item_ammo_revolver_ttt	2308.140869 -3215.693604 -255.614685	0.461 0.056 0.034
item_ammo_revolver_ttt	2362.969971 -2424.663086 -67.682915	0.447 0.072 0.061
item_ammo_revolver_ttt	2389.076172 -2432.310059 -67.559235	0.472 0.053 0.012
item_ammo_revolver_ttt	-2023.884399 -3339.641602 192.373215	0.393 0.101 0.198
item_ammo_revolver_ttt	-2015.119873 -3347.096436 196.885254	72.566 111.206 162.522
item_ammo_revolver_ttt	-1993.583618 -3346.632568 192.369949	0.458 0.057 0.040
item_ammo_revolver_ttt	-259.703735 -4641.451660 224.305069	0.445 0.079 0.066
item_ammo_revolver_ttt	-259.993103 -4612.405762 224.459549	0.476 0.053 0.004
item_ammo_revolver_ttt	-259.440430 -4597.973145 224.392670	0.462 0.055 0.031
item_ammo_revolver_ttt	-2044.723267 -4566.254883 224.464371	1.316 -0.351 -0.680
item_ammo_revolver_ttt	-2044.811279 -4582.217285 224.431946	1.851 -0.247 -0.513
item_ammo_revolver_ttt	-2044.612061 -4538.582031 224.421707	1.436 0.817 -0.008
weapon_zm_revolver	1603.716064 -2747.671875 231.950668	2.309 -20.005 -84.263
weapon_zm_revolver	-119.294853 -3279.282471 -232.895157	-7.743 -24.612 -88.293
weapon_zm_revolver	-914.674377 -4736.155762 -232.562561	3.446 -19.771 -82.584
weapon_zm_revolver	-1283.282227 -4743.582520 -232.977448	9.397 30.504 73.113
weapon_zm_revolver	-1988.663818 -3446.565674 -232.690308	1.267 -24.551 -85.572
weapon_zm_revolver	-3310.151123 -1165.442139 -226.055069	2.465 -20.584 -84.391
weapon_zm_revolver	-3148.255371 336.404022 -217.638077	2.481 -20.574 -84.232
weapon_zm_revolver	-2770.998047 788.958557 -217.612625	2.412 -20.610 -84.886
weapon_zm_revolver	-3287.964600 1017.638245 -254.087570	2.445 -20.367 -83.738
weapon_zm_revolver	-1233.686890 -708.268494 -231.853302	2.736 -20.466 -83.844
weapon_zm_revolver	168.289551 -1046.889282 325.916199	2.542 -20.535 -83.658
weapon_zm_revolver	-731.849304 591.970703 -12.003724	4.486 -24.525 -81.130
weapon_zm_revolver	1334.285522 1127.442017 235.408203	4.226 -22.966 -80.510
weapon_zm_revolver	2669.011475 1389.913452 255.111160	2.547 -20.530 -83.613
weapon_zm_revolver	2710.541016 -1952.064209 -254.111832	2.467 -20.321 -83.193
weapon_zm_revolver	-2700.411133 -1409.931396 -246.064163	2.511 -19.709 -84.108
weapon_zm_revolver	1830.147461 -2982.101318 -254.109268	2.465 -20.329 -83.250
weapon_zm_revolver	1408.282104 -2967.862549 -254.115814	2.471 -20.318 -83.103
weapon_zm_revolver	2309.002930 -3241.068848 -254.111832	2.467 -20.321 -83.193
weapon_zm_revolver	2367.180908 -2407.122070 -66.044228	2.568 -20.175 -84.421
weapon_zm_revolver	-2013.128418 -3341.768311 193.967209	2.371 -22.375 -85.071
weapon_zm_revolver	-269.652954 -4622.598633 225.937119	3.267 -41.641 -82.857
weapon_zm_revolver	-2044.985596 -4553.829102 225.941025	2.718 -20.118 -83.839
