# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rooftops_2016_v1
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	505.287994 2198.669922 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	489.855988 2198.899902 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	718.000000 2352.000000 318.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	149.800995 2552.739990 304.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	403.894989 2250.560059 422.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1888.959961 1706.109985 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1782.949951 1700.430054 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	2708.000000 1456.000000 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3395.919922 2404.189941 645.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3088.000000 1248.000000 453.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1801.469971 1086.300049 261.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1590.699951 90.849297 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1578.079956 89.200996 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1942.680054 -192.332001 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1905.699951 32.869701 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	920.000000 -1440.000000 581.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	465.270996 -1060.300049 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	159.960999 81.726501 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	-111.920998 -101.806999 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	762.304993 -23.528500 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1262.140015 396.980011 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-712.799011 -12.701500 -184.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-707.219971 -796.322021 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1197.000000 -180.000000 99.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1244.079956 -52.781601 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	786.000000 32.000000 110.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1322.000000 126.000000 82.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1318.000000 234.000000 81.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	2932.000000 1240.000000 1288.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	2549.669922 632.203979 375.148010	0.000 0.000 0.000
weapon_ttt_smokegrenade	2528.000000 -131.000000 371.399994	0.000 0.000 0.000
weapon_ttt_smokegrenade	1902.560059 -45.135201 110.203003	0.000 355.500 0.000
weapon_ttt_smokegrenade	3808.000000 2392.000000 420.316986	0.000 0.000 0.000
weapon_ttt_smokegrenade	3156.000000 -869.000000 323.487000	0.000 0.000 0.000
weapon_zm_molotov	1338.000000 126.000000 82.000000	0.000 0.000 0.000
weapon_zm_molotov	1308.000000 126.000000 82.000000	0.000 0.000 0.000
weapon_zm_molotov	1304.000000 234.000000 81.000000	0.000 0.000 0.000
weapon_zm_molotov	1334.000000 234.000000 81.000000	0.000 0.000 0.000
weapon_zm_molotov	2904.000000 1256.000000 1332.000000	0.000 0.000 0.000
weapon_zm_molotov	2230.000000 1382.000000 1286.000000	0.000 270.500 0.000
weapon_zm_molotov	2624.000000 1056.000000 132.000000	0.000 0.000 0.000
weapon_zm_molotov	3090.000000 257.000000 375.000000	0.000 90.000 -0.500
weapon_zm_molotov	2584.439941 575.388000 376.772003	0.000 0.000 0.000
weapon_zm_molotov	3215.000000 -23.000000 681.000000	0.000 0.000 89.500
weapon_zm_molotov	1928.000000 6.000000 98.352303	0.000 0.000 0.000
weapon_zm_molotov	3832.000000 2392.000000 420.316986	0.000 0.000 0.000
weapon_zm_molotov	1281.069946 -821.552979 69.734596	0.000 45.000 0.000
weapon_zm_molotov	2354.000000 -834.000000 196.735001	0.000 0.000 0.000
weapon_ttt_confgrenade	752.000000 204.000000 200.000000	0.000 0.000 0.000
weapon_ttt_confgrenade	384.171997 2395.620117 304.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	296.000000 2200.000000 303.752014	0.000 0.000 0.000
weapon_ttt_confgrenade	1313.469971 739.607971 259.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	3792.000000 2224.649902 644.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	2983.000000 1555.000000 388.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	2066.260010 29.344700 389.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	736.000000 -1244.000000 580.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-704.309021 -12.949000 -185.513000	0.000 0.000 0.000
weapon_ttt_confgrenade	1300.000000 2460.000000 772.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	1062.510010 -278.140991 68.487099	0.000 0.000 0.000
weapon_ttt_confgrenade	594.000000 30.000000 68.000000	0.000 0.000 0.000
weapon_ttt_confgrenade	1322.000000 242.000000 165.000000	0.000 0.000 0.000
weapon_ttt_confgrenade	2740.000000 1356.000000 1156.000000	0.000 270.000 0.000
weapon_ttt_confgrenade	2416.000000 1460.000000 1286.000000	0.000 270.500 0.000
weapon_ttt_confgrenade	3205.000000 -23.000000 683.000000	0.000 0.000 89.500
weapon_ttt_confgrenade	1824.000000 144.000000 100.013000	0.000 0.000 0.000
weapon_ttt_confgrenade	2150.000000 -328.000000 74.372902	0.000 180.000 0.000
weapon_ttt_confgrenade	3706.659912 1843.489990 515.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	3924.000000 1808.000000 387.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	2560.000000 -1424.000000 67.487099	0.000 0.000 0.000
weapon_ttt_confgrenade	2971.360107 -1018.929993 739.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	2976.000000 -1600.000000 324.734985	0.000 0.000 0.000
weapon_ttt_confgrenade	2992.000000 -1376.000000 1091.489990	0.000 0.000 0.000
weapon_ttt_confgrenade	1135.000000 -1241.000000 67.487099	0.000 0.000 0.000
item_ammo_revolver_ttt	162.000000 46.000000 65.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	162.914001 62.171299 65.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	845.815979 -1116.530029 577.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	863.010010 -1105.329956 577.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	880.096985 -1117.219971 577.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	861.645020 -1130.420044 577.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	494.351990 -1251.359985 65.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	482.954010 -1251.650024 65.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	472.833008 -1252.829956 65.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	462.029999 -1252.380005 65.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	1367.650024 4.004060 385.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1366.810059 -29.044001 385.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	-752.000000 -906.463989 -127.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-765.908997 -907.000000 -127.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	177.606003 164.375000 65.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	178.886002 183.626999 65.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	1972.000000 -172.000000 418.000000	-0.001 89.614 1.182
item_ammo_revolver_ttt	-376.000000 984.000000 257.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1596.589966 1703.010010 769.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	1576.479980 1702.449951 769.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	2557.199951 1314.270020 769.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	2552.639893 1333.180054 769.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	3091.780029 1317.040039 449.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	3091.459961 1335.650024 449.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	545.164001 1931.310059 259.804993	0.000 30.000 0.000
item_ammo_revolver_ttt	530.124023 1941.920044 259.804993	0.000 30.000 0.000
item_ammo_revolver_ttt	153.287994 2392.790039 300.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	151.272003 2411.110107 299.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	153.819000 2426.590088 300.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	161.444000 2411.100098 300.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	3240.000000 2318.000000 306.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	3252.000000 2318.000000 306.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	3246.000000 2300.000000 306.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	818.000000 26.000000 105.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	1322.000000 114.000000 138.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	1336.000000 116.000000 138.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	1308.000000 118.000000 138.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	1986.000000 -164.000000 418.000000	-0.001 89.614 1.182
item_ammo_revolver_ttt	2296.000000 1320.000000 1284.000000	0.000 270.500 0.000
item_ammo_revolver_ttt	2296.000000 1336.000000 1284.000000	0.000 270.500 0.000
item_ammo_revolver_ttt	2296.000000 1352.000000 1284.000000	0.000 270.500 0.000
item_ammo_revolver_ttt	2632.000000 -178.000000 158.000000	0.000 0.000 -0.500
item_ammo_revolver_ttt	1890.280029 -48.181400 106.000000	0.000 265.500 0.000
item_ammo_revolver_ttt	1887.660034 -55.999802 106.000000	0.000 265.500 0.000
item_ammo_revolver_ttt	2162.000000 377.000000 101.000000	0.000 90.000 0.000
item_ammo_revolver_ttt	-125.260002 2715.000000 258.000000	0.000 180.000 0.000
item_ammo_revolver_ttt	-135.259995 2715.000000 258.000000	0.000 180.000 0.000
item_ammo_revolver_ttt	-115.260002 2715.000000 258.000000	0.000 180.000 0.000
item_ammo_revolver_ttt	2696.000000 -898.000000 192.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	2702.000000 -880.000000 192.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	2690.000000 -880.000000 192.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	2978.000000 -1382.000000 1088.280029	0.000 0.000 0.000
item_ammo_revolver_ttt	2970.000000 -1382.000000 1088.280029	0.000 0.000 0.000
item_ammo_revolver_ttt	340.187988 -738.237000 128.921005	0.000 2.000 0.000
item_ammo_revolver_ttt	353.239990 -729.395020 128.921005	0.000 2.000 0.000
item_ammo_revolver_ttt	367.993011 -738.265991 128.921005	0.000 2.000 0.000
item_ammo_revolver_ttt	312.914001 -824.000000 128.921005	0.000 287.500 0.000
item_ammo_revolver_ttt	300.906006 -813.784973 128.921005	0.000 287.500 0.000
weapon_zm_shotgun	1013.000000 -866.000000 196.000000	0.000 0.000 -0.500
weapon_zm_shotgun	956.000000 20.000000 109.000000	0.000 0.000 0.000
weapon_zm_sledge	915.000000 -1119.000000 586.372986	0.000 0.000 0.000
weapon_zm_sledge	3198.000000 567.000000 114.000000	0.000 0.000 -0.500
weapon_zm_sledge	2300.000000 -868.000000 73.372902	0.000 0.000 0.000
weapon_zm_revolver	182.000000 70.000000 116.000000	0.000 271.000 0.000
weapon_zm_revolver	181.964996 58.000000 116.000000	0.000 271.000 0.000
weapon_zm_revolver	856.000000 -1110.000000 578.000000	-0.026 271.000 1.500
weapon_zm_revolver	866.000000 -1110.000000 578.000000	-0.026 271.000 1.500
weapon_zm_revolver	484.041992 -1263.280029 66.997902	0.000 0.000 0.000
weapon_zm_revolver	460.000000 -1264.000000 66.997902	0.000 0.000 0.000
weapon_zm_revolver	298.000000 -772.994019 178.000000	0.000 358.500 0.000
weapon_zm_revolver	-765.142029 -1029.790039 -125.001999	0.000 0.000 0.000
weapon_zm_revolver	1498.000000 18.000000 68.997902	0.000 0.000 0.000
weapon_zm_revolver	1367.859985 -14.235400 386.997986	0.000 0.000 0.000
weapon_zm_revolver	1982.000000 -198.000000 418.000000	0.000 0.000 91.500
weapon_zm_revolver	1966.000000 -178.000000 418.000000	0.000 320.500 91.500
weapon_zm_revolver	1622.369995 1704.660034 770.997986	0.000 0.000 0.000
weapon_zm_revolver	1817.920044 1746.160034 386.997986	0.000 0.000 0.000
weapon_zm_revolver	-369.319000 988.174011 258.997986	0.000 0.000 0.000
weapon_zm_revolver	2510.659912 1424.239990 826.000000	0.000 0.000 0.000
weapon_zm_revolver	3788.699951 2240.000000 642.997986	0.000 0.000 0.000
weapon_zm_revolver	1108.000000 2046.000000 386.997986	0.000 0.000 0.000
weapon_zm_revolver	534.000000 2627.860107 292.000000	0.000 0.000 0.000
weapon_zm_revolver	272.000000 2201.659912 302.263000	0.000 0.000 0.000
weapon_zm_revolver	3224.000000 2296.000000 306.000000	0.000 0.000 0.000
weapon_zm_revolver	800.000000 26.000000 107.000000	0.000 0.000 0.000
weapon_zm_revolver	589.517029 1965.900024 357.000000	0.000 30.000 0.000
weapon_zm_revolver	2324.000000 1288.000000 1324.000000	0.000 270.500 0.000
weapon_zm_revolver	2632.000000 -160.000000 160.000000	0.000 0.000 -0.500
weapon_zm_revolver	2481.000000 598.000000 499.000000	0.000 0.000 89.500
weapon_zm_revolver	1901.170044 -50.041401 108.000000	0.000 265.500 0.000
weapon_zm_revolver	-126.260002 2705.000000 259.997986	0.052 269.001 3.000
weapon_zm_revolver	3914.000000 1816.000000 387.000000	0.000 270.000 0.000
weapon_zm_revolver	2674.000000 -896.000000 193.998001	0.000 0.000 0.000
weapon_zm_revolver	1316.000000 122.000000 138.000000	0.000 0.000 0.000
weapon_zm_revolver	2968.000000 -1372.000000 1090.000000	0.000 0.000 0.000
weapon_zm_revolver	322.473999 -759.840027 178.000000	0.000 268.500 0.000
weapon_zm_revolver	1066.000000 38.000000 83.000000	0.000 90.500 0.000
weapon_zm_revolver	-741.000000 -1.000000 -142.000000	0.000 0.000 0.000
weapon_ttt_glock	1258.000000 -1130.000000 130.000000	0.000 0.000 -2.000
weapon_ttt_glock	3038.000000 1542.000000 386.000000	0.000 0.000 -0.500
weapon_ttt_glock	147.175003 2526.000000 301.000000	0.000 0.000 0.000
weapon_ttt_glock	2616.000000 1040.000000 132.000000	0.000 0.000 0.000
weapon_ttt_glock	2504.000000 -1424.000000 65.931702	0.000 0.000 -0.500
weapon_zm_pistol	-128.000000 -104.000000 66.000000	-0.018 271.000 1.000
weapon_zm_pistol	-126.000000 -150.000000 66.000000	1.000 270.009 -89.500
weapon_zm_pistol	1629.709961 954.210999 258.722992	0.000 0.000 0.000
weapon_zm_pistol	1626.400024 1070.030029 258.722992	0.000 0.000 0.000
weapon_zm_pistol	3710.340088 2390.000000 692.000000	0.000 0.000 0.000
weapon_zm_pistol	2386.000000 1210.000000 436.000000	0.000 272.000 0.000
weapon_zm_pistol	663.585022 2200.000000 301.988007	0.000 0.000 0.000
weapon_zm_pistol	390.048004 2465.320068 302.722992	0.000 0.000 0.000
weapon_zm_pistol	1192.000000 -116.000000 86.000000	0.000 90.500 0.000
weapon_zm_pistol	1321.540039 -307.036011 66.723198	0.000 0.000 0.000
weapon_zm_pistol	2514.000000 1403.319946 825.724976	0.000 0.000 0.000
weapon_zm_pistol	2845.000000 569.513977 373.000000	0.000 0.000 0.000
weapon_zm_pistol	2059.000000 -198.000000 98.000000	0.000 270.000 0.000
weapon_zm_pistol	3322.000000 1771.000000 517.372986	0.000 0.000 -15.500
weapon_zm_pistol	3149.000000 -854.000000 322.000000	0.000 0.000 0.000
